Import-AAdk,BB,CC,DD,EE,Value
AA,BB,CC,DD,EE,Value
AAdk,BBtw,CChv,DDnt,EEdn,384.65
AAdk,BBtw,CChv,DDtv,EEmn,131.49
AAdk,BBtw,CChv,DDnt,EEfh,918.58
AAdk,BBtw,CChv,DDtv,EElp,918.28
AAdk,BBtw,CChv,DDnt,EEfx,537.94
AAdk,BBtw,CChv,DDtv,EEdn,930.32
AAdk,BBst,CChv,DDnt,EEdn,803.01
AAdk,BBst,CChv,DDtv,EEmn,674.92
AAdk,BBst,CChv,DDnt,EEfh,169.67
AAdk,BBst,CChv,DDtv,EElp,175.61
AAdk,BBst,CChv,DDnt,EEfx,690.29
AAdk,BBst,CChv,DDtv,EEdn,701.84
AAdk,BBtw,CChv,DDnt,EEdn,960.92
AAdk,BBtw,CChv,DDtv,EEmn,577.81
AAdk,BBtw,CChv,DDnt,EEfh,835.3
AAdk,BBtw,CChv,DDtv,EElp,329.18
AAdk,BBtw,CChv,DDnt,EEfx,855.36
AAdk,BBtw,CChv,DDtv,EEdn,735.17
AAdk,BBst,CChv,DDnt,EEdn,481.26
AAdk,BBst,CChv,DDtv,EEmn,227.99
AAdk,BBst,CChv,DDnt,EEfh,487.72
AAdk,BBst,CChv,DDtv,EElp,360.18
AAdk,BBst,CChv,DDnt,EEfx,880.78
AAdk,BBst,CChv,DDtv,EEdn,122.31
