CC,DD,AAfnw_BBkrs,AAfnw_BBqz,AApqr_BBcjx,AApqr_BBnqx,AApqr_BBbgp,EE,FF
CCcy,,24.66,71.90,47.64,7.80,89.43,,
,  DDhlt,31.34,84.76,64.45,15.54,96.58,EEmz,FFgqt
,  DDbkv,24.66,71.90,47.64,7.80,89.43,EEmz,FFgqt
,  DDbmz,31.29,77.14,54.94,10.86,92.89,EEmz,FFgqt
CCkqy,,27.62,73.96,48.21,7.31,90.67,,
,  DDcwz,27.62,73.96,48.21,7.31,90.67,EEmz,FFgqt
,  DDbsz,32.36,82.64,58.99,12.17,94.04,EEmz,FFgqt
,  DDmx,40.26,85.23,67.19,14.84,97.42,EEmz,FFgqt
CCbt,,18.54,70.67,41.01,1.81,87.55,,
,  DDhpt,29.36,75.82,50.91,9.07,91.89,EEmz,FFgqt
,  DDmpy,33.67,82.00,63.36,14.76,94.99,EEmz,FFgqt
,  DDmx,18.54,70.67,41.01,1.81,87.55,EEmz,FFgqt
Minimum,,18.54,70.67,41.01,1.81,87.55,,
,  ,18.54,70.67,41.01,1.81,87.55,,
