CC,DD,AApqr_BBcjx,AApqr_BBbgp,AApqr_BBnqx,AAfnw_BBkrs,AAfnw_BBqz,EE,FF
CCkqy,,54.93,91.64,4.35,19.93,72.82,,
,  DDmx,69.30,98.27,13.86,42.27,85.66,EEmz,FFbpv
,  DDbsz,59.10,94.43,8.23,33.31,78.64,EEhpx,FFbpv
,  DDcwz,54.93,91.64,4.35,19.93,72.82,EEmz,FFbpv
CCbt,,44.38,89.09,1.40,16.08,70.01,,
,  DDmx,44.38,89.09,1.40,16.08,70.01,EEmz,FFgqt
,  DDhpt,57.19,92.47,6.02,18.99,72.86,EEhpx,FFgqt
,  DDmpy,62.83,96.72,10.29,33.23,79.76,EEmz,FFgqt
CCcy,,46.49,90.41,2.81,18.12,70.00,,
,  DDhlt,67.66,98.76,11.65,38.32,81.43,EEhpx,FFlmr
,  DDbkv,46.49,90.41,2.81,18.12,70.00,EEhpx,FFlmr
,  DDbmz,58.77,91.35,6.72,28.71,76.72,EEmz,FFlmr
Minimum,,44.38,89.09,1.40,16.08,70.00,,
,  ,44.38,89.09,1.40,16.08,70.00,,
