DD,EE,AApqr_BBlmr_CCcqx,AApqr_BBnqx_CCbt,AAgqt_BBfnw_CCkrs,AAgqt_BBnry_CCbpv,Average
DDmx,,6.37,16.04,-49.90,35.70,2.05
,  EEbhk,72.67,22.98,-81.35,96.05,27.59
,  EEksy,-49.46,30.22,-68.28,-9.38,-24.23
,  EEqz,67.19,11.78,43.46,-34.65,21.95
,  EEmz,-64.92,-0.84,-93.43,90.78,-17.10
DDcjx,,10.30,20.49,21.32,-21.57,7.64
,  EEdhv,-57.98,19.12,47.57,-34.41,-6.42
,  EEhq,-50.81,22.48,59.86,-11.13,5.10
,  EEbkv,85.16,31.59,63.98,-4.52,44.05
,  EEkqy,64.83,8.77,-86.12,-36.21,-12.18
DDcy,,-57.51,19.82,15.08,6.00,-4.15
,  EEcrv,-65.70,19.82,44.24,-33.11,-8.69
,  EEmpy,-54.03,23.73,48.41,99.42,29.38
,  EEbkv,-63.39,4.60,36.37,-36.94,-14.84
,  EEmz,-46.93,31.15,-68.71,-5.36,-22.46
