CC,DD,AAmz_BBbpv,AAmz_BBgqt,AApqr_BBbgp,AApqr_BBnqx,AApqr_BBcjx,AAcy_BBbkv,AAcy_BBhpt
CCbt,,60.57,20.39,88.09,1.61,50.04,41.17,72.14
,  DDcwz,64.66,28.87,95.44,3.94,53.07,44.24,72.26
,  DDmx,60.57,20.39,88.09,1.61,50.04,41.37,72.14
,  DDbmz,67.48,32.70,96.12,20.80,57.86,41.17,78.21
CChpx,,63.80,27.20,93.38,4.64,52.78,43.62,74.31
,  DDcmp,65.14,30.68,96.22,18.18,56.09,45.62,74.31
,  DDlmr,63.80,27.20,93.38,4.64,52.78,43.62,74.50
,  DDmx,70.30,40.45,98.37,22.70,58.10,49.81,85.61
CCfnw,,60.41,26.64,89.94,3.66,48.20,40.72,72.63
,  DDkrs,60.41,26.64,89.94,3.66,51.47,40.72,72.63
,  DDgv,70.31,38.12,96.37,20.97,58.21,48.41,85.59
,  DDqz,64.47,29.01,95.59,14.03,48.20,45.03,76.95
Minimum,,60.41,20.39,88.09,1.61,48.20,40.72,72.14
,  ,60.41,20.39,88.09,1.61,48.20,40.72,72.14
