Import-AAdk,BB,CC,DD,EE,Value
AA,BB,CC,DD,EE,Value
AAdk,BBtw,CChv,DDnt,EEdn,776.87
AAdk,BBtw,CChv,DDtv,EEmn,649.36
AAdk,BBtw,CChv,DDnt,EEfh,530.53
AAdk,BBtw,CChv,DDtv,EElp,149.87
AAdk,BBst,CChv,DDnt,EEdn,158.07
AAdk,BBst,CChv,DDtv,EEmn,548.93
AAdk,BBst,CChv,DDnt,EEfh,424.09
AAdk,BBst,CChv,DDtv,EElp,563.96
AAdk,BBrz,CChv,DDnt,EEdn,460.71
AAdk,BBrz,CChv,DDtv,EEmn,593.41
AAdk,BBrz,CChv,DDnt,EEfh,723.5
AAdk,BBrz,CChv,DDtv,EElp,991.16
AAdk,BBtw,CChv,DDnt,EEdn,992.12
AAdk,BBtw,CChv,DDtv,EEmn,485.85
AAdk,BBtw,CChv,DDnt,EEfh,103.49
AAdk,BBtw,CChv,DDtv,EElp,752.47
AAdk,BBst,CChv,DDnt,EEdn,757.95
AAdk,BBst,CChv,DDtv,EEmn,762.36
AAdk,BBst,CChv,DDnt,EEfh,509.74
AAdk,BBst,CChv,DDtv,EElp,767.09
