AA,BB,CC,Value
AA,BB,CC,Value
AAdk,BBtw,CChv,0.19
AAdk,BBdn,CCrv,2.47
AAdk,BBnw,CCtv,3.59
AAdk,BBtw,CCrz,2.72
AAdk,BBdn,CCfh,2.73
AAdk,BBnw,CCdl,4.15
AAdk,BBtw,CCjz,2.99
AAdk,BBdn,CChv,8.96
AAdk,BBnw,CCrv,6.75
AAnt,BBtw,CChv,10.47
AAnt,BBdn,CCrv,11.7
AAnt,BBnw,CCtv,10.02
AAnt,BBtw,CCrz,13.04
AAnt,BBdn,CCfh,13.7
AAnt,BBnw,CCdl,2.33
AAnt,BBtw,CCjz,13.56
AAnt,BBdn,CChv,17.51
AAnt,BBnw,CCrv,19.3
AAst,BBtw,CChv,22.43
AAst,BBdn,CCrv,23.25
AAst,BBnw,CCtv,24.93
AAst,BBtw,CCrz,25.97
AAst,BBdn,CCfh,26.17
AAst,BBnw,CCdl,26.05
AAst,BBtw,CCjz,27.14
AAst,BBdn,CChv,25.8
AAst,BBnw,CCrv,5.63
