AApqr-Export,BB,CC,DD,EE,Value
AA,BB,CC,DD,EE,Value
AApqr,BBnqx,CCbt,DDmx,EEmz,777.44
AApqr,BBnqx,CCbt,DDcy,EEbkv,13.12
AApqr,BBnqx,CCbt,DDcjx,EEkqy,912.3
AApqr,BBnqx,CCbt,DDmx,EEqz,17.87
AApqr,BBnqx,CCbt,DDcy,EEcrv,147.95
AApqr,BBnqx,CCbt,DDcjx,EEdhv,403.39
AApqr,BBnqx,CCbt,DDmx,EEbhk,789.54
AApqr,BBnqx,CCbt,DDcy,EEmz,534.77
AApqr,BBnqx,CCbt,DDcjx,EEbkv,407.05
AApqr,BBfnw,CCbt,DDmx,EEmz,154.1
AApqr,BBfnw,CCbt,DDcy,EEbkv,29.72
AApqr,BBfnw,CCbt,DDcjx,EEkqy,291.76
AApqr,BBfnw,CCbt,DDmx,EEqz,294.82
AApqr,BBfnw,CCbt,DDcy,EEcrv,428.27
AApqr,BBfnw,CCbt,DDcjx,EEdhv,816.55
AApqr,BBfnw,CCbt,DDmx,EEbhk,177.09
AApqr,BBfnw,CCbt,DDcy,EEmz,689.92
AApqr,BBfnw,CCbt,DDcjx,EEbkv,818.25
AApqr,BBlmr,CCbt,DDmx,EEmz,824.62
AApqr,BBlmr,CCbt,DDcy,EEbkv,64.37
AApqr,BBlmr,CCbt,DDcjx,EEkqy,576.64
AApqr,BBlmr,CCbt,DDmx,EEqz,576.22
AApqr,BBlmr,CCbt,DDcy,EEcrv,69.42
AApqr,BBlmr,CCbt,DDcjx,EEdhv,966.37
AApqr,BBlmr,CCbt,DDmx,EEbhk,455.45
AApqr,BBlmr,CCbt,DDcy,EEmz,453.98
AApqr,BBlmr,CCbt,DDcjx,EEbkv,585.53
AApqr,BBnqx,CCbt,DDmx,EEmz,842.06
AApqr,BBnqx,CCbt,DDcy,EEbkv,456.62
AApqr,BBnqx,CCbt,DDcjx,EEkqy,325.64
AApqr,BBnqx,CCbt,DDmx,EEqz,335.74
AApqr,BBnqx,CCbt,DDcy,EEcrv,337.46
AApqr,BBnqx,CCbt,DDcjx,EEdhv,213.21
AApqr,BBnqx,CCbt,DDmx,EEbhk,725.72
AApqr,BBnqx,CCbt,DDcy,EEmz,735.89
AApqr,BBnqx,CCbt,DDcjx,EEbkv,864.55
AApqr,BBfnw,CCbt,DDmx,EEmz,482.17
AApqr,BBfnw,CCbt,DDcy,EEbkv,229.4
AApqr,BBfnw,CCbt,DDcjx,EEkqy,743.71
AApqr,BBfnw,CCbt,DDmx,EEqz,749.15
AApqr,BBfnw,CCbt,DDcy,EEcrv,494.97
AApqr,BBfnw,CCbt,DDcjx,EEdhv,880.84
AApqr,BBfnw,CCbt,DDmx,EEbhk,628.06
AApqr,BBfnw,CCbt,DDcy,EEmz,887.92
AApqr,BBfnw,CCbt,DDcjx,EEbkv,506.42
