DD,EE,AApqr_BBlmr_CCcqx,AApqr_BBnqx_CCbt,AAgqt_BBnry_CCbpv,AAgqt_BBfnw_CCkrs,Average
DDcjx,EEbkv,82.23,32.53,-3.49,-60.04,12.81
,EEkqy,-54.50,3.61,-33.13,-92.79,-44.20
,EEdhv,80.29,12.93,-20.50,44.69,29.35
,EEhq,-46.76,27.10,-3.34,59.64,9.16
DDcy,EEbkv,73.08,2.99,87.83,-92.35,17.89
,EEcrv,75.26,8.48,-26.51,44.42,25.41
,EEmpy,82.70,24.99,-19.48,51.33,34.88
,EEmz,-43.83,31.85,-4.21,64.16,11.99
DDmx,EEksy,-44.34,29.29,-15.70,-68.64,-24.85
,EEmz,70.20,0.96,-41.92,-95.05,-16.45
,EEqz,-53.78,6.52,-26.44,40.93,-8.19
,EEbhk,-47.81,18.96,-19.88,45.99,-0.69
Average,,14.40,16.68,-10.56,-4.81,3.93
