DD,EE,AAgqt_BBhpt_CCbt,AAgqt_BBfnw_CCkrs,AApqr_BBnqx_CCbt,AApqr_BBnry_CCkrs,AApqr_BBgv_CCbt,AAhpx_BBlsx_CCkrs,AAhpx_BBlmr_CCbt
DDcjx,,-68.55,41.73,16.77,23.55,-12.66,-42.21,68.96
,  EEbkv,-59.46,52.83,26.04,-89.31,-1.26,-26.40,78.22
,  EEdhv,-72.34,38.30,15.12,96.42,-17.34,-48.28,65.22
,  EEhq,-62.41,42.86,18.83,0.89,-11.03,-40.23,73.16
,  EEkqy,-80.00,32.94,7.10,86.22,-21.00,-53.92,59.25
DDcy,,-72.68,37.71,13.39,20.55,-15.32,-43.31,66.28
,  EEbkv,-85.07,32.69,4.33,80.36,-22.78,-53.38,56.36
,  EEmz,-62.68,39.65,22.60,-94.53,-5.54,-29.09,75.77
,  EEcrv,-75.83,38.05,9.53,95.54,-18.42,-49.85,62.74
,  EEmpy,-67.13,40.46,17.11,0.82,-14.54,-40.94,70.26
DDmx,,-73.67,35.98,10.98,43.41,-17.09,-48.50,64.66
,  EEmz,-89.87,29.83,-0.76,79.64,-26.05,-59.01,55.32
,  EEqz,-75.24,34.46,8.26,91.90,-19.64,-53.29,61.96
,  EEksy,-61.35,39.28,19.96,-97.81,-6.01,-32.65,74.83
,  EEbhk,-68.23,40.37,16.45,99.91,-16.66,-49.04,66.52
Average,,-71.63,38.48,13.71,29.17,-15.02,-44.67,66.63
,  ,-71.63,38.48,13.71,29.17,-15.02,-44.67,66.63
