DD,EE,AArv_BBrz_CChm,AArv_BBst_CCnw,AArv_BBtw_CCdl,AAdk_BBrz_CCdt,AAdk_BBst_CCmx,AAdk_BBtw_CChv
Maximum,,12.10,13.73,25.27,18.51,27.92,7.59
,  ,12.10,13.73,25.27,18.51,27.92,7.59
DDtv,,12.10,13.73,25.27,18.51,27.92,7.59
,  EElp,12.10,11.84,23.28,8.22,6.48,5.81
,  EEmn,9.00,6.41,21.49,15.23,27.92,1.31
,  EEdn,5.03,13.73,25.27,18.51,9.57,7.59
DDnt,,10.99,12.96,22.77,18.33,26.67,6.67
,  EEfx,5.56,12.96,18.61,18.33,9.66,6.67
,  EEfh,10.99,5.44,22.77,16.73,26.67,1.11
,  EEdn,9.18,8.45,18.50,12.55,21.16,0.74
