CC,DD,AAfnw_BBkrs,AAfnw_BBknr,AAfnw_BBbgp,AAcqx_BBcjx,AAcqx_BBgv,AApqr_BBnqx,AApqr_BBlt,AApqr_BBqz,EE,FF
CCbt,,13.16,88.04,58.57,31.90,63.38,1.07,76.39,45.90,,
,  DDmpy,25.68,98.93,62.16,42.47,73.81,7.01,76.39,54.66,EEmz,FFbpv
,  DDmx,13.16,88.04,58.57,31.90,63.38,1.07,77.55,45.90,EEmz,FFgqt
,  DDhpt,64.35,94.23,61.48,39.26,71.66,7.80,80.83,49.22,EEhpx,FFcmp
CCkqy,,14.34,87.09,61.31,37.40,62.21,5.93,79.28,48.23,,
,  DDbkv,28.19,99.93,67.89,45.39,74.74,12.99,86.26,62.37,EEmz,FFgqt
,  DDbsz,25.66,97.47,64.19,40.92,72.84,8.02,82.28,51.90,EEhpx,FFlmr
,  DDcwz,14.34,87.09,61.31,37.40,62.21,5.93,79.28,48.23,EEmz,FFbpv
CCcy,,14.39,89.24,60.34,31.37,62.20,2.55,78.00,55.13,,
,  DDbmz,20.50,96.35,63.64,39.51,72.68,8.61,81.31,60.51,EEmz,FFgqt
,  DDbkv,14.39,89.24,60.34,31.37,62.20,2.55,78.00,60.72,EEhpx,FFlmr
,  DDmx,27.16,99.10,63.03,43.19,71.94,11.88,86.45,55.13,EEhpx,FFcmp
Minimum,,13.16,87.09,58.57,31.37,62.20,1.07,76.39,45.90,,
,  ,13.16,87.09,58.57,31.37,62.20,1.07,76.39,45.90,,
