Import-AApqr,BB,CC,DD,EE,Value
AA,BB,CC,DD,EE,Value
AApqr,BBnqx,CCbt,DDmx,EEmz,772.47
AApqr,BBnqx,CCbt,DDcy,EEbkv,905.37
AApqr,BBnqx,CCbt,DDcjx,EEkqy,394.86
AApqr,BBnqx,CCbt,DDmx,EEqz,652.35
AApqr,BBnqx,CCbt,DDcy,EEcrv,914.08
AApqr,BBnqx,CCbt,DDcjx,EEdhv,402.04
AApqr,BBnqx,CCbt,DDmx,EEbhk,788.55
AApqr,BBnqx,CCbt,DDcy,EEmpy,538.45
AApqr,BBnqx,CCbt,DDcjx,EEhq,27.7
AApqr,BBfnw,CCbt,DDmx,EEmz,28.69
AApqr,BBfnw,CCbt,DDcy,EEbkv,667.01
AApqr,BBfnw,CCbt,DDcjx,EEkqy,541.15
AApqr,BBfnw,CCbt,DDmx,EEqz,540.76
AApqr,BBfnw,CCbt,DDcy,EEcrv,287.36
AApqr,BBfnw,CCbt,DDcjx,EEdhv,162.87
AApqr,BBfnw,CCbt,DDmx,EEbhk,804.7
AApqr,BBfnw,CCbt,DDcy,EEmpy,550.87
AApqr,BBfnw,CCbt,DDcjx,EEhq,808.15
AApqr,BBlmr,CCbt,DDmx,EEmz,563.29
AApqr,BBlmr,CCbt,DDcy,EEbkv,691.45
AApqr,BBlmr,CCbt,DDcjx,EEkqy,819.76
AApqr,BBlmr,CCbt,DDmx,EEqz,312.02
AApqr,BBlmr,CCbt,DDcy,EEcrv,952.01
AApqr,BBlmr,CCbt,DDcjx,EEdhv,960.34
AApqr,BBlmr,CCbt,DDmx,EEbhk,833.34
AApqr,BBlmr,CCbt,DDcy,EEmpy,581.89
AApqr,BBlmr,CCbt,DDcjx,EEhq,328.99
AApqr,BBnqx,CCbt,DDmx,EEmz,974.92
AApqr,BBnqx,CCbt,DDcy,EEbkv,847.39
AApqr,BBnqx,CCbt,DDcjx,EEkqy,722.15
AApqr,BBnqx,CCbt,DDmx,EEqz,596.24
AApqr,BBnqx,CCbt,DDcy,EEcrv,601.94
AApqr,BBnqx,CCbt,DDcjx,EEdhv,986.73
AApqr,BBnqx,CCbt,DDmx,EEbhk,987.5
AApqr,BBnqx,CCbt,DDcy,EEmpy,350.72
AApqr,BBnqx,CCbt,DDcjx,EEhq,352.95
AApqr,BBfnw,CCbt,DDmx,EEmz,609.65
AApqr,BBfnw,CCbt,DDcy,EEbkv,483.13
AApqr,BBfnw,CCbt,DDcjx,EEkqy,103.83
AApqr,BBfnw,CCbt,DDmx,EEqz,873.31
AApqr,BBfnw,CCbt,DDcy,EEcrv,112.2
AApqr,BBfnw,CCbt,DDcjx,EEdhv,241.21
AApqr,BBfnw,CCbt,DDmx,EEbhk,369.51
AApqr,BBfnw,CCbt,DDcy,EEmpy,245.74
AApqr,BBfnw,CCbt,DDcjx,EEhq,249.5
