AA,BB,CC,Value
AA,BB,CC,Value
AAdk,BBtw,CChv,2.66
AAdk,BBdn,CCrv,3.24
AAdk,BBnw,CCtv,6.15
AAdk,BBtw,CCrz,6.49
AAdk,BBdn,CCfh,8.71
AAdk,BBnw,CCdl,11.66
AAdk,BBtw,CCjz,12.05
AAdk,BBdn,CChv,12.86
AAdk,BBnw,CCrv,14.83
AAnt,BBtw,CChv,13.91
AAnt,BBdn,CCrv,16.08
AAnt,BBnw,CCtv,17.66
AAnt,BBtw,CCrz,18.33
AAnt,BBdn,CCfh,19.33
AAnt,BBnw,CCdl,18.57
AAnt,BBtw,CCjz,21.52
AAnt,BBdn,CChv,22.0
AAnt,BBnw,CCrv,23.9
AAst,BBtw,CChv,23.52
AAst,BBdn,CCrv,23.62
AAst,BBnw,CCtv,26.44
AAst,BBtw,CCrz,27.51
AAst,BBdn,CCfh,23.27
AAst,BBnw,CCdl,26.54
AAst,BBtw,CCjz,27.34
AAst,BBdn,CChv,22.64
AAst,BBnw,CCrv,19.96
