CC,DD,AAmz_BBbpv,AAmz_BBgqt,AApqr_BBnqx,AApqr_BBbgp,AApqr_BBcjx,AAcy_BBbkv,AAcy_BBhpt,Minimum
CChpx,,62.74,26.70,0.76,89.03,49.97,39.84,72.94,0.76
,  DDlmr,62.74,26.70,0.76,89.03,49.97,39.84,72.94,0.76
,  DDcmp,65.47,30.39,9.31,96.80,52.56,43.66,80.79,9.31
,  DDkrs,70.42,32.55,18.71,99.23,57.88,42.09,86.52,18.71
CCfnw,,59.99,22.88,0.34,87.28,45.70,37.20,72.87,0.34
,  DDqz,64.06,28.98,7.13,91.54,45.70,42.38,78.69,7.13
,  DDmx,68.96,32.19,16.20,99.00,47.34,45.83,84.33,16.20
,  DDkrs,59.99,22.88,0.34,87.28,47.69,37.20,72.87,0.34
CCbt,,59.66,18.85,0.74,87.19,47.33,37.66,72.36,0.74
,  DDbmz,65.83,30.22,14.12,98.69,53.20,43.12,84.26,14.12
,  DDmx,59.66,18.85,0.74,87.19,47.33,37.66,72.36,0.74
,  DDcwz,63.65,27.29,6.41,91.98,50.10,41.36,76.39,6.41
Minimum,,59.66,18.85,0.34,87.19,45.70,37.20,72.36,0.34
,  ,59.66,18.85,0.34,87.19,45.70,37.20,72.36,0.34
