CC,DD,AApqr_BBcjx,AApqr_BBbgp,AApqr_BBnqx,AAmz_BBgqt,AAmz_BBbpv,AAcy_BBhpt,AAcy_BBbkv,Average
CCfnw,DDknr,96.52,-12.08,18.67,43.95,-78.72,-52.09,71.87,12.59
,DDqz,18.57,-25.60,11.29,24.34,-85.15,-59.81,61.33,-7.86
,DDgv,95.73,-20.95,19.86,40.52,-82.27,-55.48,68.26,9.38
,DDkrs,-5.62,-22.93,11.28,35.23,-82.56,-58.67,66.93,-8.05
CCbt,DDmpy,95.05,-16.00,21.31,42.77,-80.91,-54.45,69.69,11.07
,DDcwz,86.57,-27.81,10.86,28.81,-86.58,-61.37,61.57,1.72
,DDbmz,94.88,-22.69,18.90,38.87,-84.04,-56.99,67.34,8.04
,DDmx,89.67,-31.84,9.47,38.87,-84.26,-61.30,65.47,3.73
CChpx,DDlmr,-3.47,-19.27,14.62,42.35,-79.37,-55.14,68.10,-4.60
,DDcmp,93.27,-24.82,14.43,37.57,-84.30,-58.54,64.67,6.04
,DDqtw,94.08,-11.10,23.31,46.98,-75.32,-53.09,74.61,14.21
,DDdlz,96.80,-17.44,19.14,42.42,-82.70,-54.82,67.18,10.08
Average,,71.00,-21.04,16.09,38.56,-82.18,-56.81,67.25,4.70
