CC,DD,AAcqx_BBcjx,AAcqx_BBgv,AApqr_BBqz,AApqr_BBlt,AApqr_BBnqx,AAfnw_BBkrs,AAfnw_BBbgp,EE,FF
CCbt,,28.38,82.01,40.90,92.76,1.98,18.86,0.15,,
,  DDcwz,34.35,87.12,45.07,96.33,10.52,23.11,60.92,EEmz,FFgqt
,  DDmx,28.38,82.01,40.90,92.76,1.98,18.86,51.61,EEmz,FFgqt
,  DDbmz,39.49,91.11,49.43,98.72,15.47,25.29,0.15,EEmz,FFgqt
CCcy,,32.22,87.37,43.17,92.02,9.20,18.27,57.86,,
,  DDhpt,37.15,89.46,47.05,96.42,14.06,24.34,60.36,EEmz,FFlmr
,  DDbkv,32.22,87.37,43.17,92.02,9.20,18.27,57.86,EEmz,FFlmr
,  DDbsz,39.58,91.47,51.19,97.65,14.55,27.66,77.28,EEmz,FFlmr
Minimum,,28.38,82.01,40.90,92.02,1.98,18.27,0.15,,
,  ,28.38,82.01,40.90,92.02,1.98,18.27,0.15,,
