DD,EE,AAgqt_BBnry_CCbpv,AAgqt_BBfnw_CCkrs,AApqr_BBhpt_CCbt,AApqr_BBnqx_CCbt,AApqr_BBlmr_CCcqx
DDcjx,EEdhv,87.41,46.69,-19.58,20.95,-61.87
,EEbkv,-35.57,-73.12,-14.22,35.83,75.88
,EEhq,88.36,-75.38,-16.69,31.94,-56.01
,EEkqy,-45.72,-87.98,-25.18,12.86,59.29
DDmx,EEqz,84.55,-84.72,-22.03,13.50,-69.68
,EEmz,-54.78,37.45,93.32,2.16,57.67
,EEksy,-37.37,53.28,-19.83,-96.24,-56.38
,EEbhk,88.58,47.91,-20.69,21.36,-60.90
DDcy,EEmz,92.34,-73.41,-19.23,-95.71,73.37
,EEmpy,-39.19,49.97,-18.96,21.16,-58.61
,EEbkv,77.74,-91.47,-33.01,6.09,59.40
,EEcrv,-42.78,46.90,-20.10,16.08,66.15
