CC,DD,AAfnw_BBknr,AAfnw_BBbgp,AAfnw_BBkrs,AApqr_BBnqx,AApqr_BBlt,AApqr_BBqz,AAcqx_BBcjx,AAcqx_BBgv,Minimum,EE,FF
CCbt,,90.07,38.13,11.06,0.73,68.72,31.05,25.88,51.74,0.73,,
,  DDcwz,95.50,38.88,19.79,4.79,69.28,34.04,27.74,53.25,4.79,EEmz,FFgqt
,  DDbmz,97.69,43.47,22.62,8.10,75.09,37.33,29.65,60.98,8.10,EEmz,FFgqt
,  DDmx,90.07,38.13,11.06,0.73,68.72,31.05,25.88,51.74,0.73,EEmz,FFgqt
CCcy,,92.48,37.42,14.67,1.31,69.47,31.91,24.57,51.13,1.31,,
,  DDbkv,92.48,37.42,14.67,1.31,69.47,31.91,24.57,51.13,1.31,EEmz,FFlmr
,  DDhpt,96.68,40.98,19.63,4.78,71.04,34.39,28.20,58.72,4.78,EEmz,FFlmr
,  DDmx,98.47,49.06,24.97,9.42,80.91,38.76,25.73,64.07,9.42,EEmz,FFlmr
Minimum,,90.07,37.42,11.06,0.73,68.72,31.05,24.57,51.13,0.73,,
,  ,90.07,37.42,11.06,0.73,68.72,31.05,24.57,51.13,0.73,,
