DD,EE,AAhpx_BBlsx_CCcqx,AAhpx_BBlmr_CCcqx,AApqr_BBnqx_CCbt,AApqr_BBnry_CCbt,AAgqt_BBfnw_CCkrs,AAgqt_BBhpt_CCkrs
Average,,-16.37,58.76,16.04,-85.90,53.27,-54.74
,  ,-16.37,58.76,16.04,-85.90,53.27,-54.74
DDmx,,-18.39,63.97,13.75,-87.45,51.08,-56.41
,  EEksy,-11.65,86.78,17.60,-80.26,55.11,-45.58
,  EEqz,-25.84,78.85,5.71,-93.73,46.87,-65.62
,  EEmz,-32.72,72.48,2.14,-96.67,40.64,-73.69
,  EEbkv,-5.53,0.90,30.02,-76.07,65.83,-41.78
,  EEbhk,-16.23,80.85,13.30,-90.52,46.97,-55.40
DDcy,,-16.77,65.35,15.46,-85.77,52.96,-55.56
,  EEmpy,-15.64,82.64,16.07,-87.51,52.48,-55.24
,  EEkqy,-4.67,-0.15,31.65,-75.88,66.65,-43.57
,  EEcrv,-23.60,79.90,5.07,-91.80,47.36,-60.67
,  EEjvz,-8.54,90.81,21.69,-78.37,57.27,-43.31
,  EEbkv,-31.41,73.56,2.82,-95.30,41.02,-75.03
DDcjx,,-13.94,46.95,18.89,-84.49,55.76,-52.24
,  EEqz,-1.04,-99.34,33.08,-78.49,68.59,-37.47
,  EEdhv,-20.90,80.68,11.18,-90.02,48.43,-58.62
,  EEkqy,-27.41,76.35,4.78,-94.74,44.43,-69.20
,  EEmz,-7.57,93.24,28.35,-77.35,62.08,-43.10
,  EEhq,-12.76,83.84,17.07,-81.84,55.27,-52.80
