CC,DD,AAdn_BBrv,AAdn_BBpw,AAdk_BBdl,AAdk_BBmn,AAdk_BBtw
Minimum,,26.14,63.15,77.39,34.61,8.34
,  ,26.14,63.15,77.39,34.61,8.34
CChv,,26.14,63.15,77.39,34.61,8.34
,  DDnt,26.14,63.15,77.39,34.61,8.34
,  DDhm,30.57,71.78,93.66,56.72,19.98
,  DDcl,30.64,67.60,84.48,49.64,13.71
CCbx,,29.03,67.89,82.46,40.55,9.08
,  DDrz,29.03,67.89,82.46,40.55,9.08
,  DDjn,34.58,72.01,98.41,62.84,23.08
,  DDcs,30.39,68.13,91.55,55.99,17.46
CCst,,26.33,65.67,79.45,35.23,9.41
,  DDdf,34.09,71.30,98.22,61.59,23.63
,  DDlp,30.29,68.05,89.97,50.65,15.29
,  DDnw,26.33,65.67,79.45,35.23,9.41
