CC,DD,EE,FF,AApqr_BBbgp,AApqr_BBcjx,AApqr_BBnqx,AAfnw_BBqz,AAfnw_BBkrs,Minimum
CCbt,DDmx,EEmz,FFgqt,82.90,45.61,3.78,68.68,24.41,3.78
,DDhpt,EEhpx,FFcmp,88.19,54.75,10.62,71.30,33.46,10.62
,DDmpy,EEmz,FFbpv,89.42,65.54,19.87,79.91,42.36,19.87
CCkqy,DDbkv,EEmz,FFgqt,94.41,67.96,24.27,81.81,45.48,24.27
,DDbsz,EEhpx,FFlmr,87.01,61.33,12.51,75.96,41.40,12.51
,DDcwz,EEmz,FFbpv,87.16,48.65,8.66,69.76,29.45,8.66
CCcy,DDbkv,EEhpx,FFlmr,84.21,48.46,4.20,69.17,27.70,4.20
,DDbmz,EEmz,FFgqt,89.18,56.72,12.29,74.28,35.73,12.29
,DDmx,EEhpx,FFcmp,88.68,66.06,20.66,80.31,43.10,20.66
Minimum,,,,82.90,45.61,3.78,68.68,24.41,3.78
