CC,DD,AApqr_BBnqx,AApqr_BBbgp,AApqr_BBcjx,AAcy_BBbsz,AAcy_BBhpt,AAcy_BBbkv,AAmz_BBdhv,AAmz_BBgqt,AAmz_BBbpv
CCbt,,13.84,-49.23,91.39,-16.39,-67.48,61.53,-33.95,35.12,-92.57
,  DDbmz,17.65,-46.92,93.13,-12.95,-65.07,61.00,-32.92,42.45,-90.35
,  DDcwz,11.88,-51.18,88.40,-20.22,-69.89,55.55,-33.14,29.79,-94.33
,  DDmx,4.68,-54.98,85.58,-22.78,-74.19,51.76,-38.74,22.25,-99.72
,  DDmpy,21.16,-43.84,98.43,-9.60,-60.76,77.81,-31.00,45.97,-85.87
CCfnw,,15.54,-49.34,91.83,-15.94,-64.42,63.64,-31.29,39.06,-90.28
,  DDmx,22.55,-43.85,99.54,-12.64,-57.05,79.16,-25.02,49.35,-80.79
,  DDgv,19.65,-45.04,95.34,-11.20,-60.01,64.55,-29.55,44.34,-89.98
,  DDqz,13.41,-55.07,86.59,-17.96,-68.51,57.42,-32.54,35.46,-92.63
,  DDkrs,6.57,-53.40,85.83,-21.95,-72.12,53.44,-38.05,27.11,-97.73
CChpx,,16.32,-46.13,42.11,-11.92,-63.58,66.30,-30.36,41.09,-87.30
,  DDdlz,20.83,-43.25,96.77,-10.31,-59.96,70.80,-28.35,45.99,-86.42
,  DDcmp,13.92,-47.68,85.33,-13.20,-67.38,57.55,-33.08,38.59,-93.55
,  DDlmr,8.57,-53.30,85.62,-20.67,-71.19,54.33,-36.19,28.15,-94.06
,  DDkrs,21.96,-40.29,-99.27,-3.49,-55.79,82.50,-23.81,51.61,-75.18
Average,,15.24,-48.23,75.11,-14.75,-65.16,63.82,-31.87,38.42,-90.05
,  ,15.24,-48.23,75.11,-14.75,-65.16,63.82,-31.87,38.42,-90.05
