DD,EE,AAgqt_BBlmr_CCbmz,AAgqt_BBfnw_CCkrs,AAgqt_BBnqx_CCbpv,AApqr_BBlmr_CCcqx,AApqr_BBfnw_CCprw,AApqr_BBnqx_CCgjm,AApqr_BBnqx_CCbt,Maximum
DDmx,EEbhk,16.20,13.89,27.76,23.50,11.40,22.93,5.64,27.76
,EEqz,15.65,11.15,26.60,16.36,9.15,0.57,3.17,26.60
,EEmz,14.03,9.82,27.03,18.06,4.90,6.71,0.12,27.03
DDcjx,EEdhv,16.42,14.52,26.50,23.56,10.56,22.49,5.27,26.50
,EEbkv,18.70,17.00,1.50,26.03,4.23,25.06,5.99,26.03
,EEkqy,15.39,11.78,22.55,20.33,3.92,20.00,2.01,22.55
DDcy,EEcrv,15.76,13.99,26.18,22.58,9.59,21.36,1.22,26.18
,EEbkv,15.64,10.91,27.05,10.88,8.33,20.54,1.04,27.05
,EEmz,17.25,8.77,25.41,24.12,12.77,24.87,7.04,25.41
Maximum,,18.70,17.00,27.76,26.03,12.77,25.06,7.04,27.76
