DD,EE,AApqr_BBhpt_CCbt,AApqr_BBnqx_CCbt,AApqr_BBlmr_CCcqx,AAgqt_BBnry_CCbpv,AAgqt_BBfnw_CCkrs
DDcjx,,-23.62,14.48,-20.23,12.58,-89.53
,  EEhq,-23.52,12.67,-69.64,78.00,-88.44
,  EEdhv,-32.92,5.13,56.21,-53.37,-93.01
,  EEdfk,-16.85,23.89,-63.50,-48.59,-86.88
,  EEkqy,-21.19,16.21,-3.99,74.28,-89.78
DDmx,,19.68,10.89,-40.72,-4.94,-10.41
,  EEbhk,-28.94,8.85,57.22,-52.08,-90.99
,  EEmz,31.92,11.79,-71.67,10.96,-25.82
,  EEksy,-20.44,17.88,-72.84,78.49,40.31
,  EEqz,96.17,5.05,-75.57,-57.12,34.84
DDcy,,22.15,12.43,-22.71,-4.32,-59.56
,  EEbkv,38.02,12.96,-6.98,10.91,38.69
,  EEcrv,96.22,6.15,-73.92,-55.30,-97.78
,  EEjvz,-19.44,22.08,-67.57,80.23,-89.97
,  EEmpy,-26.19,8.54,57.64,-53.14,-89.17
