DD,EE,AAgqt_BBlmr_CCbmz,AAgqt_BBnqx_CCbpv,AAgqt_BBfnw_CCkrs,AApqr_BBlmr_CCcqx,AApqr_BBnqx_CCbt,AApqr_BBfnw_CCprw,Maximum
DDmx,,19.14,26.42,14.18,24.96,3.91,16.56,26.42
,  EEqz,5.11,23.40,12.26,21.92,3.91,3.43,23.40
,  EEbhk,19.14,7.10,14.18,24.96,3.59,16.56,24.96
,  EEmz,17.33,26.42,9.91,18.60,0.60,2.60,26.42
DDcy,,17.26,25.60,13.59,22.29,3.29,16.46,25.60
,  EEcrv,6.94,25.60,13.03,22.29,3.29,14.72,25.60
,  EEbkv,17.26,4.83,4.39,14.09,1.58,9.79,17.26
,  EEmz,1.43,8.92,13.59,21.15,2.80,16.46,21.15
DDcjx,,19.59,26.27,16.70,26.39,4.57,9.34,26.39
,  EEkqy,5.28,22.89,11.16,20.01,2.24,9.34,22.89
,  EEbkv,7.29,2.03,16.70,26.39,2.26,4.12,26.39
,  EEdhv,19.59,26.27,14.85,21.82,4.57,0.63,26.27
Maximum,,19.59,26.42,16.70,26.39,4.57,16.56,26.42
,  ,19.59,26.42,16.70,26.39,4.57,16.56,26.42
