DD,EE,AAhpx_BBlmr_CCcqx,AAhpx_BBlsx_CCkrs,AApqr_BBnqx_CCbt,AApqr_BBgv_CCcqx,AApqr_BBnry_CCbpv,AAgqt_BBfnw_CCkrs,AAgqt_BBhpt_CCbt,Average
DDcy,,80.00,-48.82,19.82,-18.87,-88.54,42.99,-71.58,-12.14
,  EEmpy,87.60,-45.21,24.78,-15.54,-83.15,44.34,-73.16,-8.62
,  EEbkv,64.40,-56.70,9.86,-29.88,-97.63,32.98,-79.41,-22.34
,  EEkqy,96.85,-42.04,25.57,-3.56,-81.96,56.23,-60.60,-1.36
,  EEcrv,71.15,-51.32,19.07,-26.50,-91.41,38.40,-73.17,-16.25
DDmx,,74.16,-52.40,18.36,-20.39,-89.63,40.14,-71.37,-14.45
,  EEmz,61.65,-60.81,5.01,-29.94,-98.57,27.79,-78.45,-24.76
,  EEbkv,88.76,-44.92,26.95,-5.40,-81.72,53.83,-60.83,-3.33
,  EEqz,70.53,-52.50,17.91,-26.53,-93.06,35.61,-74.06,-17.44
,  EEbhk,75.69,-51.35,23.56,-19.67,-85.17,43.31,-72.15,-12.25
DDcjx,,81.48,-45.20,22.69,-17.29,-86.48,45.70,-67.85,-9.56
,  EEdhv,72.54,-51.00,21.11,-26.70,-86.65,41.82,-72.99,-14.55
,  EEmz,88.51,-44.82,25.23,-12.21,-82.42,46.67,-61.14,-5.74
,  EEqz,99.54,-30.22,28.05,-1.36,-79.72,59.07,-58.90,2.35
,  EEkqy,65.31,-54.76,16.37,-28.88,-97.15,35.26,-78.36,-20.32
Average,,78.54,-48.80,20.29,-18.85,-88.22,42.94,-70.27,-12.05
,  ,78.54,-48.80,20.29,-18.85,-88.22,42.94,-70.27,-12.05
