Import-AAdk,BB,CC,DD,Value
AA,BB,CC,DD,Value
AAdk,BBtw,CChv,DDnt,136.56
AAdk,BBtw,CCst,DDnw,522.18
AAdk,BBtw,CCbx,DDrz,23.77
AAdk,BBtw,CChv,DDcl,24.05
AAdk,BBtw,CCst,DDlp,409.07
AAdk,BBtw,CCbx,DDcs,667.75
AAdk,BBtw,CChv,DDhm,546.25
AAdk,BBtw,CCst,DDdf,547.47
AAdk,BBtw,CCbx,DDnt,933.14
AAdk,BBrv,CChv,DDnt,560.94
AAdk,BBrv,CCst,DDnw,691.88
AAdk,BBrv,CCbx,DDrz,822.8
AAdk,BBrv,CChv,DDcl,55.77
AAdk,BBrv,CCst,DDlp,568.35
AAdk,BBrv,CCbx,DDcs,189.87
AAdk,BBrv,CChv,DDhm,958.13
AAdk,BBrv,CCst,DDdf,578.66
AAdk,BBrv,CCbx,DDnt,195.14
AAdk,BBmn,CChv,DDnt,198.37
AAdk,BBmn,CCst,DDnw,326.9
AAdk,BBmn,CCbx,DDrz,713.36
AAdk,BBmn,CChv,DDcl,331.54
AAdk,BBmn,CCst,DDlp,333.54
AAdk,BBmn,CCbx,DDcs,590.7
AAdk,BBmn,CChv,DDhm,216.77
AAdk,BBmn,CCst,DDdf,987.96
AAdk,BBmn,CCbx,DDnt,349.68
AAdk,BBtw,CChv,DDnt,222.43
AAdk,BBtw,CCst,DDnw,737.65
AAdk,BBtw,CCbx,DDrz,103.86
AAdk,BBtw,CChv,DDcl,615.04
AAdk,BBtw,CCst,DDlp,625.63
AAdk,BBtw,CCbx,DDcs,498.18
AAdk,BBtw,CChv,DDhm,753.94
AAdk,BBtw,CCst,DDdf,502.84
AAdk,BBtw,CCbx,DDnt,249.59
