CC,DD,AApqr_BBbgp,AApqr_BBnqx,AApqr_BBcjx,AAmz_BBgqt,AAmz_BBbpv,AAcy_BBhpt,AAcy_BBbkv
CCfnw,,-20.91,8.22,60.29,37.05,-84.10,-51.79,67.64
,  DDkrs,-21.87,7.81,-9.45,36.52,-79.85,-50.20,67.75
,  DDqz,-26.35,6.21,91.56,33.55,-89.47,-52.64,63.81
,  DDgv,-14.50,10.63,98.78,41.09,-82.97,-52.53,71.35
CCbt,,-25.59,7.25,56.25,34.84,-85.23,-52.39,66.19
,  DDmx,-25.26,6.69,-10.06,35.19,-84.48,-52.50,66.22
,  DDbmz,-21.00,10.24,98.75,37.54,-82.29,-50.09,69.48
,  DDcwz,-30.52,4.83,80.05,31.79,-88.91,-54.59,62.87
CChpx,,-18.92,10.03,-4.91,40.32,-80.82,-34.55,68.46
,  DDdlz,-13.97,13.37,-99.32,47.69,-78.35,-3.93,71.82
,  DDcmp,-24.51,8.06,93.89,35.65,-86.48,-52.00,66.27
,  DDlmr,-18.27,8.67,-9.30,37.63,-77.64,-47.71,67.30
Average,,-21.81,8.50,37.21,37.41,-83.38,-46.24,67.43
,  ,-21.81,8.50,37.21,37.41,-83.38,-46.24,67.43
