DD,EE,AAgqt_BBhpt_CCbt,AAgqt_BBfnw_CCkrs,AAhpx_BBlsx_CCkrs,AAhpx_BBlmr_CCbt,AApqr_BBnqx_CCbt,AApqr_BBgv_CCbt,AApqr_BBnry_CCkrs
DDcjx,EEbkv,-60.15,61.23,-36.54,85.69,26.21,-12.41,-89.02
,EEcrv,-56.59,64.79,-26.20,92.38,30.71,-1.74,-85.09
,EEhq,-68.26,55.44,-40.36,79.98,19.61,-15.10,-93.01
,EEdhv,-72.01,45.55,-45.12,74.69,9.76,-23.13,-98.97
,EEkqy,-78.53,39.13,-50.36,66.25,5.24,-23.49,95.74
DDcy,EEbkv,-85.82,32.86,-54.91,66.27,3.34,-23.41,95.62
,EEqz,-58.48,63.69,-29.91,90.15,27.89,-5.83,-87.02
,EEcrv,-74.84,44.65,-45.96,71.86,9.87,-20.01,98.76
,EEmz,-64.48,60.78,-37.50,85.05,21.25,-15.63,-89.39
,EEmpy,-69.57,54.12,-40.19,75.64,18.89,-20.56,-94.49
DDmx,EEbhk,-70.70,47.30,-41.90,75.43,14.62,-21.02,-98.48
,EEqz,-75.82,40.54,-46.68,71.14,7.91,-21.93,98.08
,EEksy,-65.10,57.96,-38.00,80.30,21.67,-14.75,-91.08
,EEmz,-84.97,31.04,-55.00,65.61,3.88,-25.90,92.78
,EEkqy,-58.21,62.37,-31.66,88.12,27.56,-9.62,-87.86
