AAdk-Export,BB,CC,DD,Value
AA,BB,CC,DD,Value
AAdk,BBtw,CChv,DDnt,256.47
AAdk,BBtw,CCst,DDnw,636.85
AAdk,BBtw,CCbx,DDrz,652.36
AAdk,BBtw,CChv,DDcl,272.26
AAdk,BBtw,CCst,DDlp,785.08
AAdk,BBtw,CCbx,DDcs,530.93
AAdk,BBtw,CChv,DDhm,787.38
AAdk,BBtw,CCst,DDnt,155.06
AAdk,BBtw,CCbx,DDnw,540.15
AAdk,BBrv,CChv,DDnt,287.24
AAdk,BBrv,CCst,DDnw,548.72
AAdk,BBrv,CCbx,DDrz,933.68
AAdk,BBrv,CChv,DDcl,806.19
AAdk,BBrv,CCst,DDlp,422.11
AAdk,BBrv,CCbx,DDcs,428.78
AAdk,BBrv,CChv,DDhm,812.44
AAdk,BBrv,CCst,DDnt,945.3
AAdk,BBrv,CCbx,DDnw,433.08
AAdk,BBmn,CChv,DDnt,820.89
AAdk,BBmn,CCst,DDnw,829.47
AAdk,BBmn,CCbx,DDrz,452.46
AAdk,BBmn,CChv,DDcl,585.57
AAdk,BBmn,CCst,DDlp,202.87
AAdk,BBmn,CCbx,DDcs,721.9
AAdk,BBmn,CChv,DDhm,594.98
AAdk,BBmn,CCst,DDnt,212.66
AAdk,BBmn,CCbx,DDnw,726.65
AAdk,BBtw,CChv,DDnt,86.76
AAdk,BBtw,CCst,DDnw,860.96
AAdk,BBtw,CCbx,DDrz,605.4
AAdk,BBtw,CChv,DDcl,99.17
AAdk,BBtw,CCst,DDlp,487.5
AAdk,BBtw,CCbx,DDcs,619.99
AAdk,BBtw,CChv,DDhm,620.87
AAdk,BBtw,CCst,DDnt,764.6
AAdk,BBtw,CCbx,DDnw,125.26
