CC,DD,AAdn_BBpw,AAdn_BBrv,AAdk_BBmn,AAdk_BBtw,AAdk_BBdl,Minimum
CCbx,,69.11,20.91,33.48,8.46,94.16,8.46
,  DDcs,85.71,30.88,39.93,15.87,99.63,15.87
,  DDrz,69.11,20.91,33.48,8.46,94.16,8.46
CChv,,55.24,16.32,31.30,0.52,88.77,0.52
,  DDnt,55.24,16.32,31.30,0.52,88.77,0.52
,  DDcl,80.57,28.71,39.99,9.37,96.58,9.37
CCst,,64.55,18.69,29.87,4.34,92.02,4.34
,  DDlp,84.31,29.80,40.34,12.97,97.14,12.97
,  DDnw,64.55,18.69,29.87,4.34,92.02,4.34
Minimum,,55.24,16.32,29.87,0.52,88.77,0.52
,  ,55.24,16.32,29.87,0.52,88.77,0.52
