DD,EE,AApqr_BBnqx_CCbt,AApqr_BBlmr_CCcqx,AApqr_BBhpt_CCkrs,AAgqt_BBfnw_CCkrs,AAgqt_BBnry_CCbt
DDcy,EEjvz,28.26,62.65,-25.45,-85.66,75.92
,EEbkv,-46.06,58.81,34.11,42.97,-55.85
,EEmpy,22.77,59.45,-31.65,41.00,69.07
,EEcrv,63.01,56.11,-38.57,36.95,70.02
DDcjx,EEkqy,18.42,59.23,36.77,-93.36,11.26
,EEdfk,31.48,-65.64,-21.08,33.07,73.81
,EEhq,26.05,60.54,99.17,-91.09,75.02
,EEdhv,22.99,-72.32,-36.50,41.07,69.91
DDmx,EEqz,17.63,-73.04,-40.57,39.56,-58.21
,EEbhk,22.02,-70.06,93.00,-86.31,-55.99
,EEmz,16.57,-6.19,32.58,41.56,8.36
,EEksy,26.92,-67.47,-27.51,45.58,-57.34
