CC,DD,AAdk_BBmn,AAdk_BBtw,AAdn_BBpw,AAdn_BBrv,Average
CChv,DDhm,-58.92,26.86,-26.47,47.87,-2.67
,DDkz,-49.32,30.14,-7.54,-73.59,-25.08
,DDcl,64.13,18.57,97.89,-81.04,24.89
,DDnt,60.20,3.15,86.14,-90.97,14.63
CCbx,DDjn,79.51,-99.98,-19.31,49.95,2.54
,DDrz,-65.32,11.65,95.05,-84.53,-10.79
,DDcs,-60.94,26.90,-28.51,49.56,-3.25
,DDnt,84.40,35.07,-4.88,58.19,43.20
CCst,DDlp,68.58,20.55,-30.83,48.84,26.79
,DDdf,74.99,28.93,-25.28,51.10,32.43
,DDnw,-68.71,7.53,-35.11,42.55,-13.43
,DDbs,83.09,31.12,-6.60,58.13,41.44
