CC,DD,AApqr_BBnqx,AApqr_BBcjx,AApqr_BBbgp,AAcy_BBhpt,AAcy_BBbkv,AAmz_BBdhv,AAmz_BBbpv,AAmz_BBgqt
CCbt,,12.28,78.76,-26.11,-62.26,71.44,-13.55,-82.63,44.43
,  DDbmz,9.65,87.74,-33.35,-61.63,72.44,-13.15,-82.15,42.11
,  DDcwz,4.68,87.75,-9.82,-71.82,67.37,-16.53,-88.03,36.09
,  DDmx,15.21,41.72,-32.77,-59.29,70.30,-12.30,-83.80,46.27
,  DDmpy,19.58,97.84,-28.48,-56.28,75.64,-12.23,-76.53,53.24
CChpx,,16.23,70.37,-30.73,-56.72,73.44,-10.84,-79.32,48.85
,  DDdlz,18.68,96.92,-29.70,-59.34,75.09,-11.80,-78.62,51.92
,  DDlmr,18.34,-4.74,-32.37,-56.29,72.91,-10.65,-80.88,46.12
,  DDcmp,4.92,89.70,-36.74,-62.14,67.16,-13.96,-82.09,40.66
,  DDqtw,22.97,99.59,-24.10,-49.12,78.58,-6.95,-75.68,56.69
CCfnw,,15.45,67.64,-31.27,-58.22,72.27,-12.93,-80.58,36.54
,  DDknr,21.27,97.13,-25.42,-50.98,74.43,-7.79,-75.17,55.33
,  DDgv,17.84,93.71,-30.60,-60.27,74.07,-11.59,-80.03,51.15
,  DDqz,5.56,87.78,-37.14,-64.97,68.75,-21.10,-84.29,-5.21
,  DDkrs,17.13,-8.07,-31.92,-56.66,71.84,-11.25,-82.82,44.89
