CC,DD,AAfnw_BBknr,AAfnw_BBkrs,AAfnw_BBbgp,AAcqx_BBcjx,AAcqx_BBgv,AApqr_BBnqx,AApqr_BBqz,AApqr_BBlt,EE,FF
CCbt,,85.28,11.47,42.84,29.18,56.35,3.07,36.02,71.76,,
,  DDmx,85.28,11.47,42.84,29.18,56.35,3.07,36.02,71.76,EEmz,FFgqt
,  DDhpt,91.10,19.53,49.69,33.68,60.82,10.86,39.87,82.81,EEhpx,FFgqt
CCkqy,,88.89,17.39,47.58,31.21,58.60,9.88,36.24,78.56,,
,  DDcwz,88.89,17.39,47.58,31.21,58.60,9.88,36.24,78.56,EEmz,FFbpv
,  DDbsz,98.82,21.04,56.86,35.91,64.86,11.44,40.85,84.75,EEhpx,FFbpv
CCcy,,86.87,16.04,42.56,30.86,56.15,6.39,37.15,76.76,,
,  DDbmz,97.97,19.38,54.84,34.92,56.15,11.20,40.50,82.77,EEmz,FFlmr
,  DDbkv,86.87,16.04,42.56,30.86,58.87,6.39,37.15,76.76,EEhpx,FFlmr
Minimum,,85.28,11.47,42.56,29.18,56.15,3.07,36.02,71.76,,
,  ,85.28,11.47,42.56,29.18,56.15,3.07,36.02,71.76,,
