DD,EE,AApqr_BBnry_CCbt,AApqr_BBgv_CCbt,AApqr_BBnqx_CCbt,AAgqt_BBfnw_CCkrs,AAgqt_BBhpt_CCkrs,AAhpx_BBlsx_CCcqx,AAhpx_BBlmr_CCcqx
DDcy,EEcrv,95.63,-16.69,4.67,48.60,-76.97,-43.40,71.84
,EEmpy,-1.42,-8.49,19.36,51.05,-70.67,-32.98,75.20
,EEbkv,-2.97,-11.99,16.70,46.88,-73.49,-39.28,70.40
DDcjx,EEdhv,96.79,-10.04,10.70,48.65,-76.08,-38.38,71.17
,EEkqy,0.84,-9.90,17.16,48.22,-70.81,-37.97,73.77
,EEhq,-1.45,-7.06,20.98,52.57,-69.48,-30.65,76.89
DDmx,EEmz,-5.97,-16.33,14.82,45.67,-76.02,-41.45,68.24
,EEbhk,99.70,-9.38,14.95,50.32,-72.34,-7.75,74.20
,EEqz,95.74,-16.93,3.97,46.59,-81.60,-44.74,64.53
Average,,41.88,-11.87,13.70,48.73,-74.16,-35.18,71.80
