CC,DD,AAtv_BBmn,AAtv_BBhz,AAdn_BBrv,AAdn_BBdl,AAdn_BBhr,AAdk_BBpw,AAdk_BBqx,AAdk_BBtw
CCbx,,35.15,75.64,18.71,58.63,95.87,44.20,82.66,2.15
,  DDcs,40.17,79.48,25.53,62.29,95.87,49.99,92.43,7.97
,  DDrz,35.15,75.64,18.71,58.63,96.76,44.20,82.66,2.15
CCst,,34.71,72.94,17.94,49.03,94.10,43.44,81.92,2.69
,  DDnw,34.71,72.94,17.94,49.03,94.10,43.44,81.92,2.69
,  DDlp,38.32,78.63,20.77,62.14,97.99,47.26,92.81,6.85
CChv,,32.72,66.05,15.36,50.17,93.17,41.86,80.48,0.93
,  DDcl,34.96,77.56,17.45,61.15,97.59,46.34,86.01,5.89
,  DDnt,32.72,66.05,15.36,50.17,93.17,41.86,80.48,0.93
Minimum,,32.72,66.05,15.36,49.03,93.17,41.86,80.48,0.93
,  ,32.72,66.05,15.36,49.03,93.17,41.86,80.48,0.93
