DD,EE,AAdk_BBrz_CCdt,AAdk_BBhz_CCnw,AAdk_BBtw_CChv,AArv_BBsy_CChv,AArv_BBst_CCnw,Average
DDnt,,35.01,-7.97,21.48,48.86,-75.39,4.40
,  EEdn,73.13,-4.17,0.91,-42.60,-79.14,-10.37
,  EEfh,-50.50,-12.66,24.45,91.63,-77.97,-5.01
,  EEfx,82.40,-7.09,39.07,97.56,-69.06,28.58
DDtv,,37.46,-10.36,35.20,49.96,-73.14,7.82
,  EEhr,86.89,-4.94,47.81,97.61,-65.34,32.41
,  EElp,-50.46,-10.42,36.92,-34.98,-76.20,-27.03
,  EEmn,75.95,-15.73,20.88,87.26,-77.88,18.10
Average,,36.24,-9.17,28.34,49.41,-74.27,6.11
,  ,36.24,-9.17,28.34,49.41,-74.27,6.11
