AAdk-Export,BB,CC,DD,Value
AA,BB,CC,DD,Value
AAdk,BBtw,CChv,DDnt,385.55
AAdk,BBtw,CCst,DDnw,898.75
AAdk,BBtw,CCbx,DDrz,648.66
AAdk,BBtw,CChv,DDcl,778.19
AAdk,BBtw,CCst,DDlp,395.04
AAdk,BBtw,CCbx,DDcs,147.21
AAdk,BBtw,CChv,DDhm,659.9
AAdk,BBtw,CCst,DDnt,677.16
AAdk,BBtw,CCbx,DDnw,683.47
AAdk,BBrv,CChv,DDnt,946.86
AAdk,BBrv,CCst,DDnw,309.61
AAdk,BBrv,CCbx,DDrz,182.91
AAdk,BBrv,CChv,DDcl,575.61
AAdk,BBrv,CCst,DDlp,579.9
AAdk,BBrv,CCbx,DDcs,712.83
AAdk,BBrv,CChv,DDhm,332.61
AAdk,BBrv,CCst,DDnt,204.1
AAdk,BBrv,CCbx,DDnw,605.8
AAdk,BBtw,CChv,DDnt,609.36
AAdk,BBtw,CCst,DDnw,739.81
AAdk,BBtw,CCbx,DDrz,868.97
AAdk,BBtw,CChv,DDcl,365.64
AAdk,BBtw,CCst,DDlp,494.44
AAdk,BBtw,CCbx,DDcs,498.96
AAdk,BBtw,CChv,DDhm,374.92
AAdk,BBtw,CCst,DDnt,763.04
AAdk,BBtw,CCbx,DDnw,764.99
