CC,DD,AAmz_BBgqt,AAmz_BBbpv,AApqr_BBnqx,AApqr_BBcjx,AApqr_BBbgp,AAcy_BBbkv,AAcy_BBhpt
Average,,29.83,-77.54,9.95,73.58,-16.27,48.88,-46.26
,  ,29.83,-77.54,9.95,73.58,-16.27,48.88,-46.26
CCbt,,28.20,-64.69,8.81,79.10,-18.94,48.13,-49.06
,  DDcwz,24.01,-96.95,5.62,75.91,-21.46,44.78,-52.47
,  DDkrs,35.65,-74.60,17.46,92.46,-8.86,58.44,-38.83
,  DDmx,21.52,0.07,1.45,67.76,-30.72,41.60,-60.99
,  DDbmz,31.64,-87.27,10.70,80.27,-14.73,47.71,-43.97
CChpx,,31.43,-82.22,11.22,60.00,-14.02,50.20,-43.80
,  DDcwz,40.65,-62.38,20.49,-0.15,-4.78,66.07,-33.86
,  DDcmp,29.40,-89.12,6.45,80.91,-17.58,44.35,-45.07
,  DDlmr,23.43,-97.34,2.47,72.24,-22.09,40.92,-54.93
,  DDmx,32.23,-80.04,15.48,86.98,-11.61,49.46,-41.34
CCfnw,,29.87,-85.72,9.82,81.66,-15.86,48.32,-45.90
,  DDgv,32.40,-80.68,11.79,81.32,-12.67,48.92,-45.10
,  DDkrs,22.10,-98.14,2.01,71.75,-23.02,40.57,-55.96
,  DDqz,27.65,-98.13,6.27,77.99,-21.59,44.66,-45.79
,  DDlmr,37.31,-65.91,19.22,95.57,-6.17,59.13,-36.76
