DD,EE,AApqr_BBnqx_CCbt,AApqr_BBlmr_CCbt,AApqr_BBhpt_CCbt,AAgqt_BBfnw_CCkrs,AAgqt_BBnry_CCkrs,AAgqt_BBlsx_CCkrs
DDcy,,15.15,19.14,16.70,-28.52,32.13,14.08
,  EEmpy,21.25,55.96,83.47,38.07,69.28,-14.17
,  EEjvz,24.49,54.00,83.37,41.97,70.74,-3.32
,  EEcrv,10.96,51.23,-47.66,-95.94,56.33,-22.11
,  EEbkv,3.91,-84.61,-52.38,-98.19,-67.83,95.91
DDcjx,,15.63,21.74,19.03,4.12,-29.76,16.78
,  EEmz,24.89,59.15,-39.33,-89.85,-59.04,-1.62
,  EEhq,22.62,56.66,85.53,39.93,70.46,-12.67
,  EEdhv,10.93,51.16,-48.02,35.29,-63.83,-18.29
,  EEkqy,4.09,-80.01,77.95,31.09,-66.63,99.70
DDmx,,13.00,19.14,15.68,-31.93,30.61,-23.12
,  EEqz,7.34,50.41,80.10,-95.16,62.85,-24.55
,  EEmz,1.28,43.24,-58.20,22.83,59.06,-38.46
,  EEbhk,19.56,54.32,-45.85,34.98,60.16,-17.03
,  EEksy,23.84,-71.39,86.69,-90.38,-59.61,-12.45
Average,,14.60,20.01,17.14,-18.78,10.99,2.58
,  ,14.60,20.01,17.14,-18.78,10.99,2.58
