CC,DD,AAfnw_BBkrs,AAfnw_BBbgp,AAcqx_BBcjx,AAcqx_BBgv,AApqr_BBnqx,AApqr_BBqz,EE,FF
CCbt,,16.52,49.93,21.84,75.73,2.04,37.55,,
,  DDhpt,18.71,56.42,28.87,89.53,9.42,40.45,EEmz,FFgqt
,  DDmx,16.52,49.93,21.84,75.73,2.04,37.55,EEmz,FFgqt
,  DDmpy,17.69,63.30,31.36,95.21,12.34,43.53,EEmz,FFgqt
CCcy,,17.79,50.41,25.98,75.41,3.84,38.75,,
,  DDbkv,17.79,50.41,26.35,75.41,3.84,38.75,EEmz,FFgqt
,  DDhlt,23.93,65.26,33.22,95.79,13.65,42.35,EEmz,FFgqt
,  DDbmz,18.92,58.05,25.98,91.09,10.64,39.98,EEmz,FFgqt
CCkqy,,18.52,50.09,26.68,83.68,7.06,38.76,,
,  DDcwz,18.52,50.09,26.68,83.68,7.06,38.76,EEmz,FFgqt
,  DDbsz,21.62,61.39,30.17,91.08,11.51,42.17,EEmz,FFgqt
,  DDhk,24.13,73.56,34.83,98.57,13.98,45.37,EEmz,FFgqt
