DD,EE,AApqr_BBnry_CCbt,AApqr_BBgv_CCbt,AApqr_BBnqx_CCbt,AAgqt_BBhpt_CCkrs,AAgqt_BBdfv_CCkrs,AAgqt_BBfnw_CCkrs,AAhpx_BBlmr_CCcqx,AAhpx_BBlsx_CCcqx
Average,,80.49,-35.31,14.76,-82.25,-13.87,39.08,62.65,-58.28
,  ,80.49,-35.31,14.76,-82.25,-13.87,39.08,62.65,-58.28
DDcy,,88.78,-35.80,14.91,-83.95,-14.73,39.57,62.96,-58.81
,  EEmpy,93.89,-34.66,16.08,-75.33,-12.98,41.73,69.31,-55.79
,  EEbkv,75.79,-45.10,7.93,-99.89,-21.99,30.36,51.17,-69.84
,  EEcrv,86.38,-38.49,11.24,-86.83,-17.86,36.32,62.03,-59.97
,  EEmz,99.08,-24.95,24.40,-73.74,-6.08,49.87,69.32,-49.66
DDmx,,86.18,-37.05,12.93,-84.96,-15.32,36.81,59.58,-59.60
,  EEksy,95.45,-25.57,17.39,-74.58,-7.24,48.67,71.82,-50.69
,  EEmz,74.60,-46.48,7.56,-99.69,-21.11,25.65,49.25,-68.21
,  EEbhk,91.38,-36.99,15.56,-77.18,-13.05,38.10,68.92,-55.77
,  EEqz,83.30,-39.17,11.20,-88.40,-19.88,34.83,48.34,-63.75
DDcjx,,66.51,-33.09,16.45,-77.84,-11.55,40.86,65.41,-56.43
,  EEkqy,81.25,-40.99,10.70,-88.96,-20.21,33.66,51.38,-66.12
,  EEbkv,0.09,-24.80,25.55,-69.37,-1.17,50.43,73.50,-48.55
,  EEdhv,90.97,-38.66,12.56,-78.31,-16.23,37.11,66.42,-59.64
,  EEhq,93.73,-27.90,17.00,-74.72,-8.58,42.25,70.34,-51.40
