CC,DD,AAfnw_BBkrs,AAfnw_BBqz,AApqr_BBnqx,AApqr_BBcjx,AApqr_BBbgp,EE,FF
Minimum,,10.03,0.23,1.25,38.73,75.06,,
,  ,10.03,0.23,1.25,38.73,75.06,,
CCcy,,10.03,0.23,1.25,40.40,75.06,,
,  DDbmz,28.47,70.60,2.19,43.05,88.14,EEmz,FFlmr
,  DDbkv,10.03,0.23,2.03,40.40,75.06,EEhpx,FFlmr
,  DDhlt,36.72,75.03,1.25,53.01,92.96,EEhpx,FFlmr
CCkqy,,12.72,64.45,2.57,41.36,76.01,,
,  DDbsz,28.04,71.69,3.94,48.72,89.72,EEhpx,FFbpv
,  DDcwz,12.72,64.45,2.57,41.36,76.01,EEmz,FFbpv
,  DDmx,37.39,76.97,7.32,60.32,99.83,EEmz,FFbpv
CCbt,,10.91,62.91,1.39,38.73,77.03,,
,  DDhpt,13.45,66.39,4.24,42.89,87.87,EEhpx,FFgqt
,  DDmpy,32.49,72.52,7.15,49.11,87.70,EEmz,FFgqt
,  DDmx,10.91,62.91,1.39,38.73,77.03,EEmz,FFgqt
