DD,EE,AApqr_BBnry_CCbt,AApqr_BBgv_CCbt,AApqr_BBnqx_CCbt,AAhpx_BBlmr_CCcqx,AAhpx_BBlsx_CCcqx,AAgqt_BBfnw_CCkrs,AAgqt_BBhpt_CCkrs,Average
DDmx,EEbhk,84.16,-14.60,18.18,63.18,-49.16,42.27,-96.65,6.77
,EEqz,81.99,-22.61,10.15,59.98,-53.01,38.78,-96.86,2.63
,EEmz,84.62,-22.35,15.96,61.45,-53.30,42.86,-42.35,12.41
DDcy,EEmpy,85.30,-12.15,21.12,63.94,-44.14,43.68,-1.22,22.36
,EEcrv,82.63,-17.26,12.62,60.69,-52.18,-5.78,-96.72,-2.29
,EEbkv,89.39,-14.60,19.37,62.01,-50.50,43.07,-41.91,15.26
DDcjx,EEkqy,35.13,-12.60,22.39,66.51,-49.59,46.91,-37.19,10.22
,EEhq,88.97,-9.44,26.66,67.18,-44.70,48.31,-76.14,14.41
,EEdhv,83.06,-15.33,12.80,60.32,-49.74,38.36,-94.63,4.98
Average,,79.47,-15.66,17.69,62.81,-49.59,37.61,-64.85,9.64
