DD,EE,AAdk_BBhz_CChv,AAdk_BBtw_CChv,AAdk_BBrz_CChv,AArv_BBst_CCnw,AArv_BBsy_CCnw,Average
DDtv,,-0.85,16.00,-23.69,-88.03,-0.44,-19.40
,  EEmn,46.45,13.40,-66.93,-88.94,-42.85,-27.77
,  EEhr,-19.51,20.38,-60.56,-83.25,86.99,-11.19
,  EElp,-29.47,14.23,56.42,-91.90,-45.45,-19.23
DDnt,,57.67,11.27,17.43,-6.20,-4.62,15.11
,  EEfx,97.91,15.73,64.86,36.53,-42.34,34.54
,  EEfh,98.65,7.87,-73.76,-92.93,75.57,3.08
,  EEdn,-23.56,10.22,61.18,37.79,-47.09,7.71
Average,,28.41,13.64,-3.13,-47.12,-2.53,-2.15
,  ,28.41,13.64,-3.13,-47.12,-2.53,-2.15
