Import-AAdk,BB,CC,DD,EE,Value
AA,BB,CC,DD,EE,Value
AAdk,BBtw,CChv,DDnt,EEdn,128.88
AAdk,BBtw,CChv,DDtv,EEmn,516.81
AAdk,BBtw,CChv,DDpw,EEfh,650.37
AAdk,BBtw,CChv,DDnt,EElp,524.71
AAdk,BBtw,CChv,DDtv,EEfx,14.35
AAdk,BBtw,CChv,DDpw,EEhr,22.0
AAdk,BBst,CChv,DDnt,EEdn,667.8
AAdk,BBst,CChv,DDtv,EEmn,800.1
AAdk,BBst,CChv,DDpw,EEfh,931.7
AAdk,BBst,CChv,DDnt,EElp,40.29
AAdk,BBst,CChv,DDtv,EEfx,436.28
AAdk,BBst,CChv,DDpw,EEhr,564.19
AAdk,BBtw,CChv,DDnt,EEdn,826.78
AAdk,BBtw,CChv,DDtv,EEmn,713.0
AAdk,BBtw,CChv,DDpw,EEfh,331.91
AAdk,BBtw,CChv,DDnt,EElp,76.83
AAdk,BBtw,CChv,DDtv,EEfx,845.66
AAdk,BBtw,CChv,DDpw,EEhr,475.14
AAdk,BBst,CChv,DDnt,EEdn,870.15
AAdk,BBst,CChv,DDtv,EEmn,231.55
AAdk,BBst,CChv,DDpw,EEfh,751.02
AAdk,BBst,CChv,DDnt,EElp,633.69
AAdk,BBst,CChv,DDtv,EEfx,250.77
AAdk,BBst,CChv,DDpw,EEhr,636.63
