CC,DD,AApqr_BBcjx,AApqr_BBnqx,AAcy_BBhpt,AAcy_BBbkv,AAmz_BBbpv,AAmz_BBgqt
Average,,-83.75,14.35,-21.97,72.69,-51.06,44.12
,  ,-83.75,14.35,-21.97,72.69,-51.06,44.12
CChpx,,-81.25,16.15,-19.81,66.75,-48.67,45.83
,  DDlmr,-95.24,4.39,-31.69,59.59,-62.31,34.48
,  DDmx,-72.12,22.35,-9.54,92.66,-41.40,47.18
,  DDcmp,-89.37,10.28,-32.35,-0.03,-55.53,44.84
,  DDcwz,-66.65,29.64,-2.55,98.01,-35.26,56.09
,  DDdlz,-82.88,14.07,-22.94,83.50,-48.83,46.55
CCfnw,,-84.42,14.67,-22.14,77.99,-51.14,44.01
,  DDlmr,-69.60,24.09,-3.35,95.33,-39.23,55.57
,  DDqz,-94.49,9.07,-29.05,64.76,-55.44,40.05
,  DDgv,-83.54,14.11,-26.83,83.34,-54.66,45.21
,  DDkrs,-96.77,4.53,-32.16,57.18,-64.79,32.22
,  DDknr,-77.72,21.56,-19.29,89.36,-41.58,47.02
CCbt,,-85.56,12.23,-23.96,73.32,-53.37,42.52
,  DDmx,-98.02,2.77,-33.70,57.46,-66.56,30.01
,  DDmpy,-80.15,18.65,-22.86,85.58,-47.79,47.09
,  DDcwz,-94.21,5.49,-30.68,60.97,-59.28,37.38
,  DDbmz,-84.21,11.01,-26.36,67.98,-53.99,45.30
,  DDkrs,-71.23,23.23,-6.21,94.63,-39.24,52.81
