Import-AAdk,BB,CC,DD,Value
AA,BB,CC,DD,Value
AAdk,BBtw,CChv,DDnt,897.91
AAdk,BBtw,CCst,DDnw,130.07
AAdk,BBtw,CCbx,DDrz,654.62
AAdk,BBtw,CChv,DDcl,529.67
AAdk,BBtw,CCst,DDlp,19.46
AAdk,BBtw,CCbx,DDcs,148.54
AAdk,BBtw,CChv,DDhm,790.55
AAdk,BBtw,CCst,DDdf,151.04
AAdk,BBtw,CCbx,DDjn,662.1
AAdk,BBrv,CChv,DDnt,666.95
AAdk,BBrv,CCst,DDnw,795.88
AAdk,BBrv,CCbx,DDrz,284.15
AAdk,BBrv,CChv,DDcl,678.29
AAdk,BBrv,CCst,DDlp,297.63
AAdk,BBrv,CCbx,DDcs,687.16
AAdk,BBrv,CChv,DDhm,688.41
AAdk,BBrv,CCst,DDdf,431.18
AAdk,BBrv,CCbx,DDjn,306.39
AAdk,BBmn,CChv,DDnt,563.77
AAdk,BBmn,CCst,DDnw,315.56
AAdk,BBmn,CCbx,DDrz,956.46
AAdk,BBmn,CChv,DDcl,189.22
AAdk,BBmn,CCst,DDlp,701.41
AAdk,BBmn,CCbx,DDcs,701.58
AAdk,BBmn,CChv,DDhm,572.47
AAdk,BBmn,CCst,DDdf,195.56
AAdk,BBmn,CCbx,DDjn,967.73
AAdk,BBtw,CChv,DDnt,850.4
AAdk,BBtw,CCst,DDnw,84.77
AAdk,BBtw,CCbx,DDrz,219.39
AAdk,BBtw,CChv,DDcl,479.12
AAdk,BBtw,CCst,DDlp,97.73
AAdk,BBtw,CCbx,DDcs,357.59
AAdk,BBtw,CChv,DDhm,741.66
AAdk,BBtw,CCst,DDdf,506.49
AAdk,BBtw,CCbx,DDjn,383.27
