DD,EE,AApqr_BBgv_CCbt,AApqr_BBnry_CCbt,AApqr_BBnqx_CCbt,AAhpx_BBlsx_CCcqx,AAhpx_BBlmr_CCcqx,AAgqt_BBfnw_CCkrs,AAgqt_BBhpt_CCkrs
DDcjx,,-12.78,-65.75,14.20,-39.51,78.20,48.52,-59.50
,  EEhq,-13.60,-90.62,15.98,-36.11,76.49,50.98,-58.22
,  EEdhv,-16.18,-96.93,6.68,-43.97,75.29,46.96,-63.20
,  EEkqy,-12.49,9.97,13.57,-40.25,80.11,42.87,-60.63
,  EEdfk,-8.85,-85.43,20.55,-37.72,80.92,53.26,-55.93
DDmx,,-16.61,-20.55,9.44,-42.29,76.60,43.49,-63.08
,  EEmz,-16.91,5.00,11.06,-44.37,77.51,40.08,-64.16
,  EEqz,-20.45,99.17,2.24,-47.42,73.81,33.23,-67.91
,  EEksy,-11.39,-90.81,15.18,-35.63,79.51,51.68,-57.43
,  EEbhk,-17.70,-95.58,9.26,-41.73,75.56,48.97,-62.81
DDcy,,-14.32,-45.88,11.34,-41.45,76.94,44.27,-60.61
,  EEcrv,-17.42,-6.70,3.29,-46.68,73.43,33.86,-63.52
,  EEjvz,-11.29,-90.17,17.71,-37.91,79.38,52.69,-56.24
,  EEmpy,-13.66,-94.13,11.99,-37.87,76.70,49.54,-60.02
,  EEbkv,-14.91,7.48,12.35,-43.32,78.25,40.99,-62.66
