CC,DD,AAmz_BBgqt,AAmz_BBcjx,AApqr_BBbpv,AApqr_BBbkv,AApqr_BBnqx,Average
CChpx,DDlmr,-16.93,25.78,-19.04,66.84,17.60,14.85
,DDqtw,51.83,-31.38,-10.25,68.39,29.26,21.57
,DDdlz,-82.95,94.09,-13.12,-61.50,23.42,-8.01
,DDcmp,45.44,-34.89,-17.04,57.15,13.95,12.92
CCbt,DDbmz,-82.48,87.68,-17.32,52.66,15.19,11.15
,DDcwz,41.27,-45.60,-30.21,-70.75,5.76,-19.91
,DDmx,-20.15,-41.89,-19.64,62.69,-49.57,-13.71
,DDmpy,-79.99,95.97,-11.74,68.51,24.36,19.42
CCfnw,DDgv,46.67,-36.06,-14.09,-64.19,20.79,-9.38
,DDkrs,-84.58,23.66,46.07,0.72,15.74,0.32
,DDknr,-78.61,-32.25,-10.45,67.71,28.02,-5.12
,DDqz,-87.64,-45.54,-18.85,-69.32,8.23,-42.62
Average,,-29.01,4.96,-11.31,14.91,12.73,-1.54
