Import-AAdk,BB,CC,DD,EE,Value
AA,BB,CC,DD,EE,Value
AAdk,BBtw,CChv,DDnt,EEdn,771.82
AAdk,BBtw,CChv,DDtv,EEmn,271.95
AAdk,BBtw,CChv,DDpw,EEfh,783.3
AAdk,BBtw,CChv,DDnt,EElp,657.62
AAdk,BBtw,CChv,DDtv,EEfx,145.62
AAdk,BBtw,CChv,DDpw,EEhr,661.48
AAdk,BBtw,CChv,DDnt,EEhl,795.93
AAdk,BBtw,CChv,DDtv,EEkz,541.55
AAdk,BBtw,CChv,DDpw,EEdn,418.77
AAdk,BBst,CChv,DDnt,EEdn,35.85
AAdk,BBst,CChv,DDtv,EEmn,39.48
AAdk,BBst,CChv,DDpw,EEfh,424.4
AAdk,BBst,CChv,DDnt,EElp,809.84
AAdk,BBst,CChv,DDtv,EEfx,813.89
AAdk,BBst,CChv,DDpw,EEhr,435.86
AAdk,BBst,CChv,DDnt,EEhl,821.3
AAdk,BBst,CChv,DDtv,EEkz,949.16
AAdk,BBst,CChv,DDpw,EEdn,696.35
AAdk,BBtw,CChv,DDnt,EEdn,60.46
AAdk,BBtw,CChv,DDtv,EEmn,573.68
AAdk,BBtw,CChv,DDpw,EEfh,575.16
AAdk,BBtw,CChv,DDnt,EElp,320.98
AAdk,BBtw,CChv,DDtv,EEfx,705.72
AAdk,BBtw,CChv,DDpw,EEhr,708.34
AAdk,BBtw,CChv,DDnt,EEhl,709.59
AAdk,BBtw,CChv,DDtv,EEkz,455.23
AAdk,BBtw,CChv,DDpw,EEdn,715.92
AAdk,BBst,CChv,DDnt,EEdn,462.02
AAdk,BBst,CChv,DDtv,EEmn,465.18
AAdk,BBst,CChv,DDpw,EEfh,91.9
AAdk,BBst,CChv,DDnt,EElp,989.67
AAdk,BBst,CChv,DDtv,EEfx,351.28
AAdk,BBst,CChv,DDpw,EEhr,228.44
AAdk,BBst,CChv,DDnt,EEhl,122.3
AAdk,BBst,CChv,DDtv,EEkz,510.58
AAdk,BBst,CChv,DDpw,EEdn,639.13
