DD,EE,AAhpx_BBlsx_CCkrs,AAhpx_BBlmr_CCcqx,AApqr_BBnqx_CCbt,AApqr_BBnry_CCbpv,AAgqt_BBfnw_CCkrs,AAgqt_BBhpt_CCbt,Average
DDcy,EEmpy,-23.22,84.04,14.38,-80.05,54.66,-52.10,-0.38
,EEcrv,-17.91,-11.33,17.61,-77.02,56.20,-47.44,-13.31
,EEbkv,-26.59,84.38,11.22,-80.43,53.06,-51.87,-1.70
DDmx,EEbhk,-24.89,78.53,14.18,-81.92,45.38,-54.15,-3.81
,EEqz,-25.98,-11.46,16.23,-78.21,55.30,-50.73,-15.81
,EEmz,-26.52,82.69,9.06,-84.02,48.39,-54.41,-4.13
DDcjx,EEkqy,-24.39,86.25,14.98,-79.97,53.59,-51.05,-0.10
,EEdhv,-16.48,-7.54,22.76,-74.09,57.52,-47.53,-10.89
,EEhq,-19.53,87.14,16.15,-77.41,54.89,-48.10,2.19
Average,,-22.83,52.52,15.17,-79.23,53.22,-50.82,-5.33
