CC,DD,AAmz_BBcjx,AAmz_BBgqt,AAmz_BBhpt,AApqr_BBnqx,AApqr_BBbkv,AApqr_BBbpv,Minimum
CCbt,,57.64,20.35,84.68,1.09,35.58,70.53,1.09
,  DDmx,57.64,20.35,84.68,1.09,35.58,70.53,1.09
,  DDcwz,61.57,24.21,90.80,4.17,40.06,76.56,4.17
,  DDbmz,64.01,30.25,93.96,15.46,52.02,84.28,15.46
CChpx,,60.90,22.84,85.25,1.32,39.28,75.59,1.32
,  DDdlz,69.41,35.99,96.49,18.26,53.12,86.93,18.26
,  DDcmp,63.21,29.99,88.49,7.83,49.41,78.34,7.83
,  DDlmr,60.90,22.84,85.25,1.32,39.28,75.59,1.32
CCfnw,,59.85,21.02,84.81,2.19,37.48,73.83,2.19
,  DDkrs,59.85,21.02,88.41,2.94,37.48,73.83,2.94
,  DDgv,63.39,32.62,94.31,16.91,52.06,84.24,16.91
,  DDqz,62.83,26.73,84.81,2.19,46.67,77.37,2.19
Minimum,,57.64,20.35,84.68,1.09,35.58,70.53,1.09
,  ,57.64,20.35,84.68,1.09,35.58,70.53,1.09
