Import-AAdk,BB,CC,DD,Value
AA,BB,CC,DD,Value
AAdk,BBtw,CChv,DDnt,544.03
AAdk,BBtw,CCst,DDnw,385.56
AAdk,BBtw,CChv,DDrz,613.24
AAdk,BBtw,CCst,DDcl,551.25
AAdk,BBtw,CChv,DDlp,775.19
AAdk,BBtw,CCst,DDnt,807.68
AAdk,BBrv,CChv,DDnt,137.06
AAdk,BBrv,CCst,DDnw,108.96
AAdk,BBrv,CChv,DDrz,429.51
AAdk,BBrv,CCst,DDcl,654.22
AAdk,BBrv,CChv,DDlp,750.0
AAdk,BBrv,CCst,DDnt,621.56
AAdk,BBtw,CChv,DDnt,462.16
AAdk,BBtw,CCst,DDnw,437.91
AAdk,BBtw,CChv,DDrz,54.86
AAdk,BBtw,CCst,DDcl,918.9
AAdk,BBtw,CChv,DDlp,730.15
AAdk,BBtw,CCst,DDnt,796.0
