CC,DD,EE,FF,AAcqx_BBcjx,AAcqx_BBgv,AApqr_BBnqx,AApqr_BBqz,AApqr_BBlt,AAfnw_BBkrs,AAfnw_BBbgp,Minimum
CCkqy,DDhk,EEmz,FFgqt,46.50,83.44,16.44,63.42,96.29,35.40,78.28,16.44
,DDcwz,EEmz,FFgqt,38.41,81.04,7.89,50.45,93.40,26.35,66.84,7.89
,DDbsz,EEhpx,FFlmr,44.54,82.81,12.12,54.13,95.20,32.78,70.58,12.12
CCcy,DDhlt,EEhpx,FFlmr,46.17,78.83,12.88,58.66,95.45,34.68,72.34,12.88
,DDbkv,EEhpx,FFlmr,36.11,80.59,5.44,43.85,92.32,25.53,65.52,5.44
,DDbmz,EEmz,FFgqt,43.88,81.41,11.97,52.29,95.63,29.67,69.66,11.97
CCbt,DDhpt,EEhpx,FFlmr,41.27,82.15,8.94,52.53,94.22,29.17,67.48,8.94
,DDmpy,EEmz,FFgqt,43.18,85.62,13.70,56.33,97.14,33.05,70.51,13.70
,DDmx,EEmz,FFgqt,36.23,79.42,4.15,45.20,88.71,22.62,64.28,4.15
Minimum,,,,36.11,78.83,4.15,43.85,88.71,22.62,64.28,4.15
