DD,EE,AApqr_BBnry_CCkrs,AApqr_BBnqx_CCbt,AApqr_BBgv_CCbt,AAgqt_BBhpt_CCbt,AAgqt_BBdfv_CCkrs,AAgqt_BBfnw_CCkrs,AAhpx_BBlmr_CCbt,AAhpx_BBlsx_CCkrs,Average
DDcjx,EEdhv,79.82,13.63,-53.30,98.45,-26.62,34.47,63.73,-78.55,16.45
,EEkqy,74.12,2.54,-59.11,95.42,-33.52,28.31,52.46,-81.67,9.82
,EEmz,85.07,20.68,-36.34,-5.61,-2.70,48.75,71.90,-69.36,14.05
,EEhq,76.11,16.26,-41.97,-92.42,-12.05,42.41,68.57,-69.22,-1.54
DDcy,EEbkv,75.19,1.40,-60.53,92.86,-33.05,27.04,50.07,-82.73,8.78
,EEmpy,80.65,15.94,-42.62,-95.55,-22.86,37.12,67.28,-71.22,-3.91
,EEjvz,80.53,13.22,-37.72,-89.42,-5.67,42.84,66.49,-67.89,0.30
,EEcrv,78.59,11.74,-57.60,97.11,-26.43,31.05,62.28,-79.30,14.68
DDmx,EEqz,74.64,5.93,-58.39,96.57,-27.83,29.56,60.33,-79.77,12.63
,EEbhk,76.21,13.11,-44.28,97.06,-24.03,35.12,66.20,-76.80,17.82
,EEksy,78.30,17.82,-40.04,-91.71,-7.34,43.41,66.60,-69.70,-0.33
,EEmz,74.89,-0.25,-67.92,87.98,-34.96,23.88,50.42,-86.51,5.94
