DD,EE,AAhpx_BBnqx_CCcqx,AApqr_BBfnw_CCbpv,AApqr_BBnqx_CCbt,AAgqt_BBfnw_CCkrs,AAgqt_BBnqx_CCprw
DDmx,,24.29,27.71,6.96,14.28,20.99
,  EEbhk,24.29,5.74,6.96,14.28,20.99
,  EEqz,19.14,25.31,1.22,12.96,14.21
,  EEmz,13.95,27.71,0.52,9.30,4.10
DDcjx,,26.49,27.86,6.82,13.85,20.11
,  EEdhv,23.90,27.86,3.14,13.85,5.89
,  EEmz,26.49,26.94,6.82,11.11,20.11
,  EEkqy,20.80,24.18,2.69,11.82,12.51
DDcy,,22.69,25.82,6.11,16.48,20.58
,  EEmpy,22.69,25.17,6.11,16.48,20.58
,  EEbkv,19.25,25.82,0.54,4.71,11.99
,  EEcrv,22.31,24.32,4.64,13.09,15.78
