DD,EE,AAgqt_BBnry_CCkrs,AAgqt_BBfnw_CCkrs,AApqr_BBnqx_CCbt,AApqr_BBlmr_CCbt
Average,,-12.68,-47.42,-11.39,23.43
,  ,-12.68,-47.42,-11.39,23.43
DDmx,,-4.13,-27.56,28.75,56.75
,  EEqz,-31.92,57.63,30.10,76.14
,  EEbhk,-24.62,-67.81,35.19,79.40
,  EEmz,44.15,-72.49,20.96,14.70
DDcjx,,-19.35,-45.80,-50.81,-3.40
,  EEkqy,-17.80,-4.19,34.33,82.89
,  EEdhv,-26.72,-69.22,-94.89,-52.79
,  EEhq,-13.53,-64.00,-91.87,-40.31
DDcy,,-14.55,-68.91,-12.12,16.95
,  EEcrv,-6.90,-71.08,-96.78,77.73
,  EEmpy,-17.45,-66.97,36.49,-44.63
,  EEbkv,-19.30,-68.66,23.95,17.75
