AA,BB,CC,Value
AA,BB,CC,Value
AAdk,BBtw,CChv,0.59
AAdk,BBdn,CCrv,1.24
AAdk,BBnw,CCtv,2.87
AAdk,BBtw,CCrz,3.43
AAdk,BBdn,CCfh,4.12
AAdk,BBnw,CCdl,2.38
AAdk,BBtw,CCjz,6.92
AAdk,BBdn,CCcs,7.4
AAdk,BBnw,CChv,5.52
AAnt,BBtw,CChv,9.42
AAnt,BBdn,CCrv,10.89
AAnt,BBnw,CCtv,9.97
AAnt,BBtw,CCrz,13.05
AAnt,BBdn,CCfh,14.08
AAnt,BBnw,CCdl,16.75
AAnt,BBtw,CCjz,17.11
AAnt,BBdn,CCcs,17.52
AAnt,BBnw,CChv,16.85
AAst,BBtw,CChv,23.15
AAst,BBdn,CCrv,24.98
AAst,BBnw,CCtv,24.69
AAst,BBtw,CCrz,26.85
AAst,BBdn,CCfh,25.82
AAst,BBnw,CCdl,26.97
AAst,BBtw,CCjz,27.06
AAst,BBdn,CCcs,24.22
AAst,BBnw,CChv,0.22
