CC,DD,EE,FF,AAfnw_BBkrs,AAfnw_BBqz,AApqr_BBcjx,AApqr_BBnqx,AApqr_BBbgp,Minimum
CCkqy,DDcwz,EEmz,FFbpv,29.04,71.83,55.84,9.82,86.80,9.82
,DDbsz,EEhpx,FFbpv,36.04,81.02,62.30,13.99,93.91,13.99
,DDmx,EEmz,FFbpv,45.87,82.86,67.66,22.36,99.94,22.36
CCbt,DDhpt,EEhpx,FFgqt,29.11,79.45,58.70,12.79,89.07,12.79
,DDmpy,EEmz,FFgqt,38.27,81.44,64.17,13.00,94.66,13.00
,DDmx,EEmz,FFgqt,25.68,67.11,51.31,3.63,85.01,3.63
CCcy,DDhlt,EEhpx,FFlmr,42.81,83.63,66.95,21.58,96.72,21.58
,DDbkv,EEhpx,FFlmr,25.79,66.80,52.10,7.39,86.64,7.39
,DDbmz,EEmz,FFlmr,34.75,80.63,62.50,13.53,90.67,13.53
Minimum,,,,25.68,66.80,51.31,3.63,85.01,3.63
