DD,EE,AAhpx_BBlmr_CCcqx,AAhpx_BBlsx_CCkrs,AApqr_BBnry_CCbpv,AApqr_BBgv_CCcqx,AApqr_BBnqx_CCbt,AAgqt_BBdfv_CCbpv,AAgqt_BBfnw_CCkrs,AAgqt_BBhpt_CCbt
DDcy,,59.91,-69.81,83.16,-40.11,11.09,-14.04,32.50,-67.07
,  EEmpy,62.32,-66.39,85.18,-32.82,15.50,-12.78,30.90,-88.97
,  EEmz,66.23,-60.34,96.99,-30.72,20.19,-4.93,41.40,-82.88
,  EEcrv,58.15,-72.57,77.68,-39.36,6.25,-16.47,30.86,-92.18
,  EEbkv,52.95,-79.93,72.78,-57.52,2.42,-21.96,26.84,-4.27
DDmx,,57.87,-71.81,79.90,-42.93,7.51,-15.11,29.33,-46.45
,  EEmz,50.38,-82.05,68.95,-60.41,1.18,-23.54,24.77,-5.38
,  EEqz,56.59,-73.20,75.40,-45.21,3.81,-19.25,28.63,-6.29
,  EEksy,62.97,-64.56,89.80,-30.89,16.81,-5.11,35.87,-85.24
,  EEbhk,61.53,-67.45,85.43,-35.23,8.23,-12.54,28.05,-88.88
DDcjx,,60.47,-67.13,85.36,-34.80,12.20,-10.56,35.95,-88.26
,  EEhq,61.40,-65.71,88.78,-32.27,16.20,-6.80,34.72,-86.33
,  EEkqy,52.33,-74.30,75.64,-45.50,3.52,-20.67,28.60,-94.38
,  EEdhv,59.31,-68.41,80.23,-36.72,8.16,-12.82,31.06,-90.66
,  EEbkv,68.83,-60.12,96.78,-24.71,20.92,-1.96,49.40,-81.68
Average,,59.42,-69.59,82.80,-39.28,10.27,-13.24,32.59,-67.26
,  ,59.42,-69.59,82.80,-39.28,10.27,-13.24,32.59,-67.26
