AAdk-Export,BB,CC,DD,Value
AA,BB,CC,DD,Value
AAdk,BBtw,CChv,DDnt,772.99
AAdk,BBtw,CCst,DDnw,906.25
AAdk,BBtw,CCbx,DDrz,139.31
AAdk,BBtw,CChv,DDcl,396.12
AAdk,BBtw,CCst,DDlp,147.88
AAdk,BBtw,CCbx,DDcs,403.44
AAdk,BBtw,CChv,DDhm,922.23
AAdk,BBtw,CCst,DDdf,297.77
AAdk,BBtw,CCbx,DDnt,683.96
AAdk,BBrv,CChv,DDnt,811.73
AAdk,BBrv,CCst,DDnw,562.65
AAdk,BBrv,CCbx,DDrz,562.1
AAdk,BBrv,CChv,DDcl,438.44
AAdk,BBrv,CCst,DDlp,439.34
AAdk,BBrv,CCbx,DDcs,312.53
AAdk,BBrv,CChv,DDhm,54.26
AAdk,BBrv,CCst,DDdf,828.74
AAdk,BBrv,CCbx,DDnt,830.38
AAdk,BBmn,CChv,DDnt,965.72
AAdk,BBmn,CCst,DDnw,70.85
AAdk,BBmn,CCbx,DDrz,710.72
AAdk,BBmn,CChv,DDcl,456.87
AAdk,BBmn,CCst,DDlp,69.09
AAdk,BBmn,CCbx,DDcs,75.63
AAdk,BBmn,CChv,DDhm,845.69
AAdk,BBmn,CCst,DDdf,980.76
AAdk,BBmn,CCbx,DDnt,342.13
AAdk,BBtw,CChv,DDnt,863.91
AAdk,BBtw,CCst,DDnw,227.78
AAdk,BBtw,CCbx,DDrz,233.82
AAdk,BBtw,CChv,DDcl,618.23
AAdk,BBtw,CCst,DDlp,499.56
AAdk,BBtw,CCbx,DDcs,884.36
AAdk,BBtw,CChv,DDhm,885.43
AAdk,BBtw,CCst,DDdf,374.17
AAdk,BBtw,CCbx,DDnt,632.09
